SMILES,"Ki (nM)"
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(I)cc4)cc3)[nH]c2n(CCC)c1=O,15.7
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(I)cc4)cc3)[nH]c2n(CCC)c1=O,293
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,11.1
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,3030
O=S(=O)(c1ccccc1)c1nc(NC2CCCC2)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,96
COc1cc(OC)cc(C(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccccc2C)c1,142
OC[C@H]1OC(n2cnc3c(NC4CCCC4)nc(Sc4ccccc4)nc32)[C@H](O)[C@@H]1O,37
OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc5ccccc45)nc(NC4CCCCC4)nc32)[C@H](O)[C@@H]1O,45000
OC[C@H]1O[C@@H](n2cnc3c(NC4CCCCC4)ncnc32)[C@H](O)[C@@H]1O,1.42
Nc1nc(Sc2ccccc2)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,2200
Nc1nc(Nc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,600
CC(C)(C)OC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,190
O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,1100
COc1ccc(-c2nc(N)c3ncn(C4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)cc1,1320
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NCc4ccccc4)cc3)[nH]c2n(CCC)c1=O,5.02
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NCc4ccccc4)cc3)[nH]c2n(CCC)c1=O,54.7
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(C)c4ccccc4)cc3)[nH]c2n(CCC)c1=O,218
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)O)cc4)cc3)[nH]c2n(CCC)c1=O,145
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)O)cc4)cc3)[nH]c2n(CCC)c1=O,161
O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,120
Nc1nc(NCC(c2ccccc2)c2ccccc2)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,61
OC[C@H]1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(Sc4ccccc4)nc32)[C@H](O)[C@@H]1O,840
CCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,283
CCCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCCC)c1=O,43.1
CCCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCCC)c1=O,149
CC(Cc1ccccc1)Nc1nc(N)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,19.2
OC[C@H]1OC(n2cnc3c(NCCc4ccccc4)nc(NCCc4ccccc4)nc32)[C@H](O)[C@@H]1O,1620
COc1cc(OC)cc(C(CNc2nc(Nc3ccccc3)nc3c2ncn3C2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccccc2C)c1,10300
Cc1ccc(-c2oc3ccc(Cl)cc3c(=O)c2Cl)c(OC(C)C)c1,100000
CCCn1c(=O)c2nc(-c3ccc(OCC(N)=O)cc3)[nH]c2n(CCC)c1=O,20
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)ON4C(=O)CCC4=O)cc3)[nH]c2n(CCC)c1=O,153
O=S(=O)(c1ccccc1)c1nc(NC2CCCCC2)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,420
OC[C@H]1OC(n2cnc3c(NC4CCCC4)nc(Nc4ccccc4)nc32)[C@H](O)[C@@H]1O,12.4
CCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,28.9
OC[C@H]1OC(n2cnc3c(NCc4cccc5ccccc45)nc(Nc4ccccc4)nc32)[C@H](O)[C@@H]1O,560
OC[C@H]1OC(n2cnc3c(NCc4ccccc4)nc(Nc4ccccc4)nc32)[C@H](O)[C@@H]1O,1630
OC[C@H]1O[C@@H](n2cnc3c(NC4CC4)ncnc32)[C@H](O)[C@@H]1O,3.2
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,4.5
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(Cc4ccccc4)Cc4ccccc4)cc3)[nH]c2n(CCC)c1=O,167
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(Cc4ccccc4)Cc4ccccc4)cc3)[nH]c2n(CCC)c1=O,690
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)NC)cc4)cc3)[nH]c2n(CCC)c1=O,24.8
CCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(CC(=O)NCCN)cc4)cc3)[nH]c2n(CC)c1=O,65
Nc1nc(=O)[nH]c2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,94
OC[C@H]1OC(n2cnc3c(NCc4cccc5ccccc45)nc(F)nc32)[C@H](O)[C@@H]1O,18.1
OC[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)ncnc32)[C@H](O)[C@@H]1O,6.8
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,16.8
