SMILES,"Ki (nM)"
CN1CC[C@]23c4c5ccc(O)c4O[C@@H]2[C@H](NC(=O)CNC(=O)CNC(=O)CNC(=O)CCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H]2CC[C@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@@H]2O8)CC[C@]3(O)[C@H]1C5,22
O=C(c1ccco1)N(c1cccnc1Cl)C1CCN(CCc2ccccc2)CC1,
O=C(c1ccco1)N(c1cnc2ccccc2c1)C1CCN(CCc2ccccc2)CC1,
CC(=O)O.CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CCCNC1=O,31.4
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1.39
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.93
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0.56
N[C@@H](c1ccc(Oc2ccccc2)cc1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,5401
CC(=O)O.CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CCCCNC1=O,12.4
N[C@@H](c1cccc(F)c1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,1766
O=C(c1ccco1)N(c1ccnc(Cl)n1)C1CCN(CCc2ccccc2)CC1,22.2
COCC(=O)N(c1cc(Cl)ncn1)C1CCN(CCc2ccccc2)CC1,214
COCC(=O)N(c1ccccn1)C1CCN(CCc2ccccc2)CC1,12.7
CCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,6015
O=C(c1ccco1)N(c1ccccn1)C1CCN(CCc2ccccc2)CC1,1.9
COCC(=O)N(c1ncccn1)C1CCN(CCc2ccccc2)CC1,15.6
O=C(c1ccoc1)N(c1nc2ccccc2o1)C1CCN(CCc2ccccc2)CC1,
CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3c2cccn2C)c2ccccc2)cc1,59
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,35.4
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(N)=O,2750
Cc1cc(O)cc(C)c1C[C@H](N)[C@H](O)C/C=C/[C@@H](O)[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,1.6
Cc1cc(O)cc(C)c1C[C@H](N)[C@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)NCCc1ccccc1,0.24
COCC(=O)N(c1ccccc1F)C1CCN(CCn2cnnn2)CC1C,2
CC1CN(CCc2ccccc2)CCC1N(C(=O)c1ccco1)c1ccccc1Cl,0.13
CN[C@H](Cc1c(C)cc(O)cc1C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@@H](C)C(=O)O,19210
Cc1cc(O)cc(C)c1C[C@@H](C(=O)N1Cc2ccccc2CC1C(N)=O)N(C)C,511.4
CCN(CC)C(=O)c1ccc(/C(=C2\C[C@H]3CC[C@@H](C2)N3CCc2ccccc2)c2ccccc2)cc1,72
O=C1[C@@H](Cc2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1.4
COC(C)C(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1C,8.1
O=C1/C(=C\c2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1.9
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(N)=O,15500
CN(C)[C@@H](Cc1ccc(O)cc1)C(=O)N1Cc2ccccc2CC1C(=O)O,11523
CC[C@H](C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCCN)C(N)=O,5250
Cc1cc(O)cc(C)c1C[C@H](N)[C@H](O)C/C=C/[C@H](O)[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,1.2
CC1CN(CCc2cccs2)CCC1N(C(=O)c1ccco1)c1ccccc1,0.15
CN[C@@H](Cc1c(C)cc(O)cc1C)C(=O)N1Cc2ccccc2CC1C(=O)O,379.4
CCNC(=O)c1ccc(/C(=C2\C[C@H]3CC[C@@H](C2)N3CCc2ccccc2)c2ccccc2)cc1,0.26
CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3CC=C(C)C)c2cccc(O)c2)cc1,2.52
CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3Cc2cccs2)c2ccc(OC)cc2)cc1,13.48
Cc1cc(O)cc(C)c1C[C@H](N)[C@@H](O)C/C=C/[C@@H](O)[C@@H](Cc1ccccc1)C(=O)NCCc1ccccc1,0.37
COC(C)C(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1C,4.2
Cc1cc(O)cc(C)c1C[C@H](C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@@H](C)C(=O)O)N(C)C,18956
CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3Cc2ccccc2Cl)c2cccc(OC)c2)cc1,57.74
C=CCN1[C@@H]2CC[C@H]1C/C(=C(/c1ccccc1)c1ccc(C(=O)NCC)cc1)C2,10.52
Oc1ccc2c3c1O[C@H]1[C@@H](Nc4ccccc4)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,0.19
