SMILES,"Ki (nM)"
C[C@@H](O)[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)O,320
CC(C)C[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)NCC(=O)O,39
NS(=O)(=O)c1ccc(NC(=O)c2ccc(Cl)c(S(N)(=O)=O)c2)cc1,24
NC(=O)C[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)O,240
NS(=O)(=O)c1cc(C(=O)NCCCC(=O)O)ccc1Cl,200
NS(=O)(=O)c1cc(C(=O)N[C@H](C(=O)O)C(O)c2ccccc2)ccc1Cl,37
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,50000
NS(=O)(=O)c1ccc(C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1,240
C[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,320
NS(=O)(=O)c1cc(C(=O)N[C@H](C(=O)O)c2ccccc2)ccc1Cl,105
CSCC[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,400
CC(C)[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)O,130
NS(=O)(=O)c1cc(C(=O)NC(Cc2ccc(O)c(O)c2)C(=O)O)ccc1Cl,100
NS(=O)(=O)c1ccc(C(=O)N[C@H](C(=O)O)C(O)c2ccccc2)cc1,54
NS(=O)(=O)c1ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)cc1,425
NS(=O)(=O)c1ccc(C(=O)NCCC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)O)cc1,270
NS(=O)(=O)c1cc(C(=O)N[C@@H](CO)C(=O)O)ccc1Cl,170
NS(=O)(=O)c1cc(C(=O)NCC(=O)O)ccc1Cl,210
NS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)C(=O)O)ccc1Cl,135
CC[C@H](C)[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,350
NS(=O)(=O)c1ccc(C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)O)cc1,270
NS(=O)(=O)c1ccc(C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1,560
NS(=O)(=O)c1cc(C(=O)N[C@@H](CS)C(=O)O)ccc1Cl,300
NS(=O)(=O)c1cc(C(=O)N[C@@H](CC(=O)O)C(=O)O)ccc1Cl,285
NS(=O)(=O)c1cc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)ccc1Cl,305
NS(=O)(=O)c1ccc(C(=O)NC(Cc2ccc(O)c(O)c2)C(=O)O)cc1,520
NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(Cl)c(S(N)(=O)=O)c2)cc1,21
NS(=O)(=O)c1ccc(C(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,35
NS(=O)(=O)c1ccc(C(=O)Nc2nnc(S)s2)cc1,38
NS(=O)(=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,430
NS(=O)(=O)c1ccc(C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)NCC(=O)O)cc1,380
NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,40
CSCC[C@H](NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1)C(=O)O,240
NC(=O)C[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,410
NS(=O)(=O)c1cc(C(=O)NCC(=O)NCC(=O)O)ccc1Cl,69
NS(=O)(=O)c1nnc(NC(=O)c2ccc(Cl)c(S(N)(=O)=O)c2)s1,13
NS(=O)(=O)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)cc1,535
NS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)ccc1Cl,27
CC(C)[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,420
CC(C)C[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)NCC(=O)O,400
NS(=O)(=O)c1ccc(CNC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,40
NS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)O)ccc1Cl,103
NS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)ccc1Cl,115
C[C@@H](O)[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,475
NS(=O)(=O)c1ccccc1NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,8600
NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2ccc(S(N)(=O)=O)cc2I)CC(=O)O)CC(=O)O)c(I)c1,70
Cn1nc(S(N)(=O)=O)sc1=N,9300
NS(=O)(=O)c1ccc(COC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc1,510
Cn1nc(S(N)(=O)=O)s/c1=N\C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C)CC(=O)O)CC(=O)O,54
NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)c(F)c1,180
Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,62
NS(=O)(=O)c1nc2ccc(OC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc2s1,32
NS(=O)(=O)c1nnc(NC(=O)CCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCC(=O)Nc2nnc(S(N)(=O)=O)s2)CC(=O)O)CC(=O)O)s1,102
Nc1cccc(S(N)(=O)=O)c1,25000
NS(=O)(=O)c1ccc(NNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NNc2ccc(S(N)(=O)=O)cc2)CC(=O)O)CC(=O)O)cc1,9800
NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c2Cl)CC(=O)O)CC(=O)O)c(Cl)c1Cl,43
NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2ccc(S(N)(=O)=O)cc2)CC(=O)O)CC(=O)O)cc1,3750
NS(=O)(=O)c1nc2ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc3ccc4nc(S(N)(=O)=O)sc4c3)CC(=O)O)CC(=O)O)cc2s1,25
NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2ccc(S(N)(=O)=O)cc2)CC(=O)[O-])CC(=O)[O-])cc1.[Zn+2],350
Nc1ccccc1S(N)(=O)=O,45400
NCCC(=O)Nc1nnc(S(N)(=O)=O)s1,455
NS(=O)(=O)c1ccc(CCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc1,290
NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)c(Br)c1,96
NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)c(I)c1,79
NNc1ccc(S(N)(=O)=O)cc1,78500
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,50000
NS(=O)(=O)c1ccc(CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCc2ccc(S(N)(=O)=O)cc2)CC(=O)O)CC(=O)O)cc1,380
NS(=O)(=O)c1ccc(CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc1,550
NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2ccc(S(N)(=O)=O)cc2Br)CC(=O)O)CC(=O)O)c(Br)c1,79
NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)cc1,4100
