SMILES,"Ki (nM)"
CN(C)CCCN1CCC[C@@H](c2cccc(C#N)c2)C1,217
COc1cccc(C(=O)NCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,2350
CCCN1CCC[C@@H](c2cccc(N)c2)C1,2000
CCCN1CCC[C@@H](c2cccc(N)c2)C1,217
CCCN1CCC[C@@H](c2cccc(CC#N)c2)C1,1229
CCCN1CCC[C@@H](c2cccc(CC#N)c2)C1,217
CCCN1CCC[C@@H](c2cccc(CC#N)c2)C1,69
CCN1CCC[C@@H](c2cccc(C#N)c2)C1,2330
CCN1CCC[C@@H](c2cccc(C#N)c2)C1,217
CCN1CCC[C@@H](c2cccc(C#N)c2)C1,235
O=S(=O)(Oc1cccc([C@@H]2CCCN(CCc3ccccc3)C2)c1)C(F)(F)F,40
O=S(=O)(Oc1cccc([C@@H]2CCCN(CCc3ccccc3)C2)c1)C(F)(F)F,73
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,217
CCCN1CCC[C@@H](c2cccc(C(=O)OC)c2)C1,2170
CCCN1CCC[C@@H](c2cccc(C(=O)OC)c2)C1,217
CCCN1CCC[C@@H](c2cccc(C(=O)OC)c2)C1,1852
CCc1sccc1N1CCC[C@@H](c2cccc(C#N)c2)C1,102
CCc1sccc1N1CCC[C@@H](c2cccc(C#N)c2)C1,134
CCc1sccc1N1CCC[C@@H](c2cccc(C#N)c2)C1,11
COc1cccc(C(=O)NCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,3950
COc1cccc(C(=O)CCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,850
COc1ccc2c(c1)C(NCCN1CCN(c3ccc(Cl)cc3)CC1)CCC2,262
Cc1ccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)cc1,1150
N#Cc1ccccc1N1CCN(CNC(=O)c2ccc(Cl)cc2)CC1,929
CCCN1CCc2cccc3c2[C@@H]1Cc1cccc(O)c1-3,35
Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1,3740
CCCN1CCC[C@@H](c2ccccc2)C1,1490
CCCN1CCC[C@@H](c2ccccc2)C1,217
CCCc1cccc([C@@H]2CCCN(CCC)C2)c1,392
